no,source,destination,protocol,length,info,rf_prob
373,172.217.25.174,192.168.0.10,UDP,1292,Ether / IP / UDP 172.217.25.174:https > 192.168.0.10:50075 / Raw,
375,172.217.25.174,192.168.0.10,UDP,1292,Ether / IP / UDP 172.217.25.174:https > 192.168.0.10:50075 / Raw,
377,172.217.25.174,192.168.0.10,UDP,1292,Ether / IP / UDP 172.217.25.174:https > 192.168.0.10:50075 / Raw,
379,172.217.25.174,192.168.0.10,UDP,1292,Ether / IP / UDP 172.217.25.174:https > 192.168.0.10:50075 / Raw,
381,172.217.25.174,192.168.0.10,UDP,1292,Ether / IP / UDP 172.217.25.174:https > 192.168.0.10:50075 / Raw,
383,172.217.25.174,192.168.0.10,UDP,1292,Ether / IP / UDP 172.217.25.174:https > 192.168.0.10:50075 / Raw,
385,172.217.25.174,192.168.0.10,UDP,1292,Ether / IP / UDP 172.217.25.174:https > 192.168.0.10:50075 / Raw,
387,172.217.25.174,192.168.0.10,UDP,1292,Ether / IP / UDP 172.217.25.174:https > 192.168.0.10:50075 / Raw,
389,172.217.25.174,192.168.0.10,UDP,1292,Ether / IP / UDP 172.217.25.174:https > 192.168.0.10:50075 / Raw,
390,172.217.25.174,192.168.0.10,UDP,1292,Ether / IP / UDP 172.217.25.174:https > 192.168.0.10:50075 / Raw,
392,172.217.25.174,192.168.0.10,UDP,1292,Ether / IP / UDP 172.217.25.174:https > 192.168.0.10:50075 / Raw,
394,172.217.25.174,192.168.0.10,UDP,1292,Ether / IP / UDP 172.217.25.174:https > 192.168.0.10:50075 / Raw,
396,172.217.25.174,192.168.0.10,UDP,1292,Ether / IP / UDP 172.217.25.174:https > 192.168.0.10:50075 / Raw,
398,172.217.25.174,192.168.0.10,UDP,1292,Ether / IP / UDP 172.217.25.174:https > 192.168.0.10:50075 / Raw,
400,172.217.25.174,192.168.0.10,UDP,1292,Ether / IP / UDP 172.217.25.174:https > 192.168.0.10:50075 / Raw,
402,192.168.0.10,172.217.25.174,UDP,75,Ether / IP / UDP 192.168.0.10:50075 > 172.217.25.174:https / Raw,
404,172.217.25.174,192.168.0.10,UDP,1292,Ether / IP / UDP 172.217.25.174:https > 192.168.0.10:50075 / Raw,
406,172.217.25.174,192.168.0.10,UDP,1292,Ether / IP / UDP 172.217.25.174:https > 192.168.0.10:50075 / Raw,
408,172.217.25.174,192.168.0.10,UDP,1292,Ether / IP / UDP 172.217.25.174:https > 192.168.0.10:50075 / Raw,
410,172.217.25.174,192.168.0.10,UDP,1292,Ether / IP / UDP 172.217.25.174:https > 192.168.0.10:50075 / Raw,
412,172.217.25.174,192.168.0.10,UDP,1292,Ether / IP / UDP 172.217.25.174:https > 192.168.0.10:50075 / Raw,
414,172.217.25.174,192.168.0.10,UDP,1292,Ether / IP / UDP 172.217.25.174:https > 192.168.0.10:50075 / Raw,
416,172.217.25.174,192.168.0.10,UDP,378,Ether / IP / UDP 172.217.25.174:https > 192.168.0.10:50075 / Raw,
418,192.168.0.10,219.250.36.130,UDP,87,Ether / IP / UDP / DNS Qry b'googleads.g.doubleclick.net.',
420,219.250.36.130,192.168.0.10,UDP,103,Ether / IP / UDP / DNS Ans 142.250.196.98,
422,192.168.0.10,142.250.196.98,UDP,1292,Ether / IP / UDP 192.168.0.10:55332 > 142.250.196.98:https / Raw,
424,192.168.0.10,142.250.196.98,UDP,1292,Ether / IP / UDP 192.168.0.10:55332 > 142.250.196.98:https / Raw,
426,192.168.0.10,142.250.196.98,UDP,940,Ether / IP / UDP 192.168.0.10:55332 > 142.250.196.98:https / Raw,
428,142.250.196.98,192.168.0.10,UDP,82,Ether / IP / UDP 142.250.196.98:https > 192.168.0.10:55332 / Raw,
429,142.250.196.98,192.168.0.10,UDP,1292,Ether / IP / UDP 142.250.196.98:https > 192.168.0.10:55332 / Raw,
431,142.250.196.98,192.168.0.10,UDP,1292,Ether / IP / UDP 142.250.196.98:https > 192.168.0.10:55332 / Raw,
